!x(deg/Myr) y(deg/Myr) z(deg/Myr)
1.15633e+00 6.13908e-01 1.18773e+00
1.27453e+00 7.12657e-01 1.29026e+00
1.16718e+00 6.59515e-01 1.19030e+00
1.07277e+00 5.79411e-01 1.06996e+00
1.02571e+00 5.37424e-01 1.05353e+00
1.14304e+00 6.10267e-01 1.15349e+00
1.07555e+00 5.91470e-01 1.08858e+00
1.19499e+00 6.71093e-01 1.19615e+00
1.22423e+00 6.83812e-01 1.23987e+00
1.41671e+00 8.04063e-01 1.40742e+00
8.86059e-01 4.63611e-01 9.04099e-01
1.05005e+00 5.67180e-01 1.06616e+00
1.70559e+00 1.00041e+00 1.70807e+00
1.06979e+00 5.89084e-01 1.08099e+00
1.17282e+00 6.60388e-01 1.21746e+00
1.07371e+00 5.81526e-01 1.09220e+00
1.04975e+00 5.65285e-01 1.07097e+00
1.22124e+00 6.73485e-01 1.23242e+00
1.17367e+00 6.44201e-01 1.18758e+00
1.42645e+00 8.08559e-01 1.42820e+00
1.03363e+00 5.59807e-01 1.04250e+00
1.19170e+00 6.52191e-01 1.19521e+00
1.24327e+00 6.89468e-01 1.24811e+00
1.11654e+00 5.92447e-01 1.11817e+00
1.01762e+00 5.35083e-01 1.03145e+00
1.01438e+00 5.35610e-01 1.03894e+00
1.36654e+00 7.53517e-01 1.36878e+00
1.13731e+00 6.37874e-01 1.15316e+00
9.60493e-01 5.14137e-01 9.78365e-01
1.17565e+00 6.48043e-01 1.18429e+00
9.92435e-01 5.23542e-01 9.96391e-01
1.07084e+00 5.92701e-01 1.07996e+00
1.18975e+00 6.51222e-01 1.19339e+00
1.39526e+00 7.86871e-01 1.39345e+00
1.16517e+00 6.43785e-01 1.16943e+00
1.12463e+00 6.12954e-01 1.13427e+00
1.16710e+00 6.52212e-01 1.18028e+00
1.40244e+00 7.82132e-01 1.39655e+00
1.21051e+00 6.49917e-01 1.22918e+00
1.22104e+00 6.61362e-01 1.22897e+00
9.81248e-01 5.23471e-01 1.01423e+00
1.05330e+00 5.59093e-01 1.06946e+00
9.75303e-01 4.98740e-01 9.80222e-01
1.24429e+00 6.90345e-01 1.25428e+00
1.03009e+00 5.55240e-01 1.04792e+00
1.42805e+00 8.35949e-01 1.44141e+00
1.14339e+00 6.37897e-01 1.15579e+00
9.46048e-01 5.02086e-01 9.67960e-01
1.33648e+00 7.58729e-01 1.34805e+00
1.28998e+00 7.13580e-01 1.29490e+00
1.15724e+00 6.33518e-01 1.16177e+00
1.40035e+00 7.85284e-01 1.40111e+00
1.02201e+00 5.42469e-01 1.02828e+00
9.32855e-01 4.91814e-01 9.39758e-01
1.10770e+00 6.20816e-01 1.13837e+00
8.20128e-01 4.25288e-01 8.34341e-01
1.31302e+00 7.22800e-01 1.30546e+00
1.46671e+00 8.40684e-01 1.47240e+00
1.33101e+00 7.47972e-01 1.33565e+00
1.09865e+00 5.91249e-01 1.10936e+00
1.43292e+00 8.27748e-01 1.43375e+00
9.99747e-01 5.41433e-01 1.00480e+00
1.32273e+00 7.50862e-01 1.33998e+00
1.19891e+00 6.71606e-01 1.20570e+00
7.54928e-01 3.70368e-01 7.83733e-01
1.15714e+00 6.30431e-01 1.15943e+00
1.17203e+00 6.34170e-01 1.19307e+00
8.96946e-01 4.64068e-01 9.01435e-01
1.17372e+00 6.52688e-01 1.19362e+00
8.96133e-01 4.70754e-01 9.12248e-01
1.09486e+00 5.88416e-01 1.08961e+00
4.97496e-01 1.97187e-01 5.24253e-01
1.24563e+00 7.03258e-01 1.24744e+00
1.07986e+00 5.89595e-01 1.08720e+00
1.30031e+00 7.20104e-01 1.30239e+00
1.11847e+00 6.22337e-01 1.13363e+00
8.73143e-01 4.53166e-01 9.12692e-01
7.98771e-01 3.93360e-01 8.23115e-01
7.12781e-01 3.49062e-01 7.45021e-01
7.39431e-01 3.57006e-01 7.59827e-01
1.14015e+00 6.21670e-01 1.15599e+00
6.87441e-01 3.31651e-01 7.24310e-01
1.27353e+00 7.16781e-01 1.28016e+00
9.46735e-01 4.96362e-01 9.44424e-01
9.96241e-01 5.29293e-01 9.97325e-01
1.12204e+00 6.04802e-01 1.14521e+00
1.36525e+00 7.64257e-01 1.35653e+00
9.30206e-01 4.88370e-01 9.53544e-01
9.85771e-01 5.19906e-01 1.00983e+00
1.12484e+00 6.11874e-01 1.12849e+00
1.17700e+00 6.38962e-01 1.18563e+00
1.14388e+00 6.39126e-01 1.15605e+00
1.17943e+00 6.43331e-01 1.16325e+00
1.13033e+00 6.13549e-01 1.15015e+00
1.01507e+00 5.38461e-01 1.03273e+00
8.28841e-01 4.27866e-01 8.52176e-01
1.30965e+00 7.46368e-01 1.31342e+00
1.36344e+00 7.79081e-01 1.38543e+00
9.51059e-01 5.09071e-01 9.71636e-01
8.05409e-01 4.02380e-01 8.34069e-01
1.07765e+00 5.86685e-01 1.09740e+00
1.25977e+00 7.11874e-01 1.26877e+00
1.40376e+00 8.08833e-01 1.39875e+00
1.12458e+00 6.10487e-01 1.13546e+00
1.01867e+00 5.43066e-01 1.01970e+00
1.26430e+00 7.15816e-01 1.26947e+00
1.21944e+00 6.82283e-01 1.21958e+00
1.23963e+00 6.92285e-01 1.24594e+00
1.17063e+00 6.51293e-01 1.17835e+00
1.24187e+00 6.86796e-01 1.24125e+00
1.18304e+00 6.44103e-01 1.18431e+00
1.42612e+00 8.08049e-01 1.45126e+00
1.06951e+00 5.83268e-01 1.08814e+00
1.31850e+00 7.29296e-01 1.31585e+00
1.07661e+00 5.81577e-01 1.09283e+00
1.60742e+00 9.37289e-01 1.60243e+00
1.18725e+00 6.54959e-01 1.21013e+00
1.27717e+00 7.02741e-01 1.27362e+00
1.16940e+00 6.51015e-01 1.17506e+00
1.16438e+00 6.33669e-01 1.16574e+00
1.31081e+00 7.39574e-01 1.31854e+00
9.87671e-01 5.23953e-01 1.01440e+00
1.07471e+00 5.82831e-01 1.09076e+00
1.01439e+00 5.31506e-01 1.02284e+00
1.11161e+00 5.94760e-01 1.13688e+00
1.18409e+00 6.59071e-01 1.19630e+00
1.20382e+00 6.61190e-01 1.20703e+00
1.19406e+00 6.56556e-01 1.21488e+00
1.38868e+00 7.80620e-01 1.39301e+00
9.33444e-01 4.92316e-01 9.50908e-01
1.04009e+00 5.73749e-01 1.04111e+00
8.89453e-01 4.63292e-01 8.98403e-01
9.30184e-01 4.91253e-01 9.25572e-01
1.42283e+00 7.98763e-01 1.41597e+00
1.41325e+00 8.06799e-01 1.41155e+00
9.92780e-01 5.32764e-01 9.99877e-01
1.23391e+00 6.78699e-01 1.23197e+00
1.25198e+00 7.09663e-01 1.26457e+00
1.18067e+00 6.48571e-01 1.18848e+00
9.08662e-01 4.74290e-01 9.20384e-01
1.36070e+00 7.66851e-01 1.36560e+00
1.00560e+00 5.28231e-01 1.00116e+00
1.08631e+00 5.99062e-01 1.11530e+00
1.12848e+00 6.22982e-01 1.14598e+00
1.27371e+00 7.09953e-01 1.28210e+00
1.03056e+00 5.45804e-01 1.03875e+00
1.23258e+00 6.90075e-01 1.24613e+00
1.19499e+00 6.56787e-01 1.20904e+00
1.12136e+00 6.00211e-01 1.12423e+00
1.15513e+00 6.20890e-01 1.15610e+00
1.03321e+00 5.49070e-01 1.03910e+00
1.50719e+00 8.43090e-01 1.49194e+00
1.04943e+00 5.70545e-01 1.06759e+00
1.23017e+00 6.94113e-01 1.24284e+00
1.30898e+00 7.18458e-01 1.28908e+00
1.12729e+00 6.24323e-01 1.12581e+00
1.10294e+00 6.06475e-01 1.10250e+00
1.07558e+00 5.72821e-01 1.09963e+00
1.18982e+00 6.58441e-01 1.20767e+00
1.15506e+00 6.40491e-01 1.16594e+00
8.46780e-01 4.40194e-01 8.72853e-01
1.18349e+00 6.51884e-01 1.19411e+00
1.11886e+00 6.13275e-01 1.12879e+00
9.57244e-01 5.06520e-01 9.80206e-01
8.22958e-01 4.05636e-01 8.44919e-01
1.07626e+00 5.76109e-01 1.08529e+00
1.18315e+00 6.54450e-01 1.21368e+00
1.14495e+00 6.15544e-01 1.15945e+00
8.97970e-01 4.66285e-01 9.07831e-01
1.13253e+00 6.27574e-01 1.13999e+00
1.60137e+00 9.28922e-01 1.59061e+00
7.79328e-01 3.93073e-01 8.13407e-01
1.42404e+00 8.13599e-01 1.41550e+00
1.33951e+00 7.39952e-01 1.32936e+00
9.92134e-01 5.23919e-01 1.01065e+00
1.45178e+00 8.38859e-01 1.46335e+00
1.30663e+00 7.37027e-01 1.31944e+00
1.35776e+00 7.83218e-01 1.38281e+00
1.00894e+00 5.49330e-01 1.02520e+00
9.37756e-01 4.97761e-01 9.62381e-01
1.01960e+00 5.42153e-01 1.03163e+00
1.45030e+00 8.10822e-01 1.45766e+00
1.07085e+00 5.74055e-01 1.08669e+00
9.74315e-01 5.21068e-01 9.90674e-01
1.23303e+00 6.79698e-01 1.24243e+00
1.28094e+00 7.25852e-01 1.30144e+00
1.27360e+00 7.05395e-01 1.27179e+00
1.06959e+00 5.74132e-01 1.08156e+00
9.08148e-01 4.63338e-01 9.26655e-01
1.21642e+00 6.80349e-01 1.23084e+00
1.05678e+00 5.76128e-01 1.07922e+00
1.18401e+00 6.51319e-01 1.18118e+00
1.26917e+00 7.16295e-01 1.28245e+00
1.02965e+00 5.49532e-01 1.04073e+00
9.53591e-01 5.01155e-01 9.64417e-01
8.02495e-01 4.14324e-01 8.18718e-01
1.40556e+00 8.14527e-01 1.41892e+00
7.33855e-01 3.51031e-01 7.47974e-01
9.62290e-01 5.12143e-01 9.97714e-01
1.26343e+00 7.07015e-01 1.27076e+00
1.14033e+00 6.24046e-01 1.15014e+00
1.23155e+00 6.87754e-01 1.22944e+00
1.34737e+00 7.69113e-01 1.36025e+00
1.03624e+00 5.71169e-01 1.05117e+00
8.22837e-01 4.07435e-01 8.42065e-01
9.23019e-01 4.80830e-01 9.44831e-01
1.41876e+00 8.01107e-01 1.41332e+00
7.58341e-01 3.74426e-01 7.66291e-01
1.25850e+00 6.90499e-01 1.26461e+00
1.13841e+00 6.16645e-01 1.14190e+00
8.71058e-01 4.44926e-01 8.81543e-01
1.09186e+00 5.98708e-01 1.12589e+00
1.09355e+00 6.00517e-01 1.11571e+00
1.00440e+00 5.37226e-01 1.02139e+00
1.48193e+00 8.44140e-01 1.46807e+00
1.20275e+00 6.61411e-01 1.21500e+00
9.96990e-01 5.28213e-01 1.00951e+00
