!x(deg/Myr) y(deg/Myr) z(deg/Myr)
1.18051e+00 6.47450e-01 1.16682e+00
1.18670e+00 6.52562e-01 1.16665e+00
1.19808e+00 6.58024e-01 1.17961e+00
1.25895e+00 7.02220e-01 1.23804e+00
1.15981e+00 6.33879e-01 1.14556e+00
1.10543e+00 5.96726e-01 1.08673e+00
1.26015e+00 7.03759e-01 1.24202e+00
1.19502e+00 6.58049e-01 1.17605e+00
1.18594e+00 6.53543e-01 1.16800e+00
1.17605e+00 6.42820e-01 1.15890e+00
1.11153e+00 5.94296e-01 1.08904e+00
1.12929e+00 6.09947e-01 1.11281e+00
1.17584e+00 6.41865e-01 1.15744e+00
1.17017e+00 6.39673e-01 1.15034e+00
1.16104e+00 6.36973e-01 1.14430e+00
1.14246e+00 6.22291e-01 1.12893e+00
1.13725e+00 6.16166e-01 1.11806e+00
1.09705e+00 5.89469e-01 1.08311e+00
1.20277e+00 6.63743e-01 1.18418e+00
1.15662e+00 6.31001e-01 1.14261e+00
1.14679e+00 6.24911e-01 1.13124e+00
1.25166e+00 6.96518e-01 1.23159e+00
1.24831e+00 6.97453e-01 1.23066e+00
1.21662e+00 6.72452e-01 1.20081e+00
1.11464e+00 5.96857e-01 1.09722e+00
1.22393e+00 6.78024e-01 1.20620e+00
1.17450e+00 6.46481e-01 1.15516e+00
1.11435e+00 6.00968e-01 1.09678e+00
1.14792e+00 6.22515e-01 1.12694e+00
1.15372e+00 6.29373e-01 1.13450e+00
1.10087e+00 5.94558e-01 1.09144e+00
1.14669e+00 6.22290e-01 1.12615e+00
1.24235e+00 6.92427e-01 1.22024e+00
1.18436e+00 6.46375e-01 1.16309e+00
1.16996e+00 6.40665e-01 1.14861e+00
1.14910e+00 6.25725e-01 1.13189e+00
1.27536e+00 7.13825e-01 1.25408e+00
1.19443e+00 6.54743e-01 1.17471e+00
1.18069e+00 6.46319e-01 1.16375e+00
1.10751e+00 5.96652e-01 1.08745e+00
1.07486e+00 5.71967e-01 1.05739e+00
1.18452e+00 6.53162e-01 1.16719e+00
1.21714e+00 6.73067e-01 1.20021e+00
1.19204e+00 6.55458e-01 1.17103e+00
9.34135e-01 4.76835e-01 9.22041e-01
1.22465e+00 6.80408e-01 1.20220e+00
1.12018e+00 6.06402e-01 1.10508e+00
1.14966e+00 6.25820e-01 1.12996e+00
1.12525e+00 6.05217e-01 1.10652e+00
1.16650e+00 6.34743e-01 1.14872e+00
1.15158e+00 6.25521e-01 1.13336e+00
1.13726e+00 6.13419e-01 1.11895e+00
1.10376e+00 5.96834e-01 1.09137e+00
1.21327e+00 6.69065e-01 1.18978e+00
1.15982e+00 6.34391e-01 1.14204e+00
1.16414e+00 6.39218e-01 1.14935e+00
1.19029e+00 6.48350e-01 1.16916e+00
1.08860e+00 5.82694e-01 1.07366e+00
1.12089e+00 6.08640e-01 1.10711e+00
1.24902e+00 6.92673e-01 1.22608e+00
1.09067e+00 5.85786e-01 1.07674e+00
1.10830e+00 5.97608e-01 1.09015e+00
1.02144e+00 5.36141e-01 1.00986e+00
1.21247e+00 6.68973e-01 1.19254e+00
1.14392e+00 6.20554e-01 1.12649e+00
1.15155e+00 6.27363e-01 1.13542e+00
1.07416e+00 5.70724e-01 1.05739e+00
1.18308e+00 6.49628e-01 1.16691e+00
1.19363e+00 6.55202e-01 1.17869e+00
1.22978e+00 6.80601e-01 1.21084e+00
1.04708e+00 5.55807e-01 1.03372e+00
1.21280e+00 6.71154e-01 1.19239e+00
1.11029e+00 6.01234e-01 1.09569e+00
1.09786e+00 5.88023e-01 1.08321e+00
1.13479e+00 6.16472e-01 1.12071e+00
1.20667e+00 6.63956e-01 1.18645e+00
1.12650e+00 6.09817e-01 1.10898e+00
1.19007e+00 6.52806e-01 1.16851e+00
1.22045e+00 6.75471e-01 1.19746e+00
1.15838e+00 6.29422e-01 1.13625e+00
1.12566e+00 6.08431e-01 1.11205e+00
1.03705e+00 5.50490e-01 1.02366e+00
1.18903e+00 6.52021e-01 1.17087e+00
1.10478e+00 5.88955e-01 1.08604e+00
