1,Indeterminate,Indeterminate,Indeterminate
2,-34.7816,54.2862,0.238802
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
715,29.4,-27.5,0.22
716,29.4,-27.5,0.22
717,26.5749,0.680887,0.177695
718,29.4,-27.5,0.22
720,41.048,-32.7096,0.103839
721,29.4,-27.5,0.22
723,29.4,-27.5,0.22
726,29.4,-27.5,0.22
727,41.7873,-31.3599,0.103484
729,17.8037,30.5389,0.70048
731,17.8037,30.5389,0.70048
732,-38.4861,-15.5933,1.02732
734,17.8037,30.5389,0.70048
735,0.181944,105.306,3.27851
736,-3.9508,102.269,2.14558
737,-11.1779,-41.794,4.78905
738,-0.654916,102.854,2.71661
739,17.8037,30.5389,0.70048
740,-8.082,-50.8589,2.72471
741,52.856,72.6026,0.371615
742,-14.9207,-52.7353,2.26592
750,27.7905,-27.4263,0.211217
752,29.4,-27.5,0.22
754,29.4,-27.5,0.22
762,17.8037,30.5389,0.70048
763,17.8037,30.5389,0.70048
765,17.8037,30.5389,0.70048
767,17.8037,30.5389,0.70048
769,52.856,72.6026,0.371615
770,21.2677,-50.8404,0.208906
774,17.8037,30.5389,0.70048
775,45.6152,11.8904,0.118707
778,29.1791,12.3558,0.574335
779,29.1791,12.3558,0.574335
780,17.8037,30.5389,0.70048
781,17.8037,30.5389,0.70048
784,45.6152,11.8904,0.118707
786,-12.4026,-42.5267,1.19535
787,30.354,-82.596,0.203377
789,-20.5335,135.014,0.873176
801,17.8037,30.5389,0.70048
802,45.6152,11.8904,0.118707
804,45.6152,11.8904,0.118707
806,17.8037,30.5389,0.70048
807,-69.3951,85.1206,0.784902
812,45.6152,11.8904,0.118707
813,-69.3951,85.1206,0.784902
814,45.6152,11.8904,0.118707
815,76.2606,20.6026,0.314219
816,17.8037,30.5389,0.70048
817,32.6555,5.04512,0.110889
818,32.6555,5.04512,0.110889
819,10.5159,130.236,0.120379
820,10.5159,130.236,0.120379
821,22.5591,22.104,1.03116
822,22.5591,22.104,1.03116
823,17.8037,30.5389,0.70048
824,-69.3951,85.1206,0.784902
825,-19.646,179.783,14.3866
826,17.8037,30.5389,0.70048
827,-5.17615,-0.1545,3.13135
829,17.8037,30.5389,0.70048
830,-69.3951,85.1206,0.784902
832,17.8037,30.5389,0.70048
833,17.8037,30.5389,0.70048
834,17.8037,30.5389,0.70048
835,17.8037,30.5389,0.70048
836,17.8037,30.5389,0.70048
838,17.8037,30.5389,0.70048
839,17.8037,30.5389,0.70048
840,17.8037,30.5389,0.70048
841,17.8037,30.5389,0.70048
842,17.8037,30.5389,0.70048
844,17.8037,30.5389,0.70048
845,17.8037,30.5389,0.70048
847,-69.3951,85.1206,0.784902
849,17.8037,30.5389,0.70048
850,17.8037,30.5389,0.70048
851,17.8037,30.5389,0.70048
852,17.8037,30.5389,0.70048
853,17.8037,30.5389,0.70048
854,17.8037,30.5389,0.70048
855,17.8037,30.5389,0.70048
856,17.8037,30.5389,0.70048
857,17.8037,30.5389,0.70048
858,17.8037,30.5389,0.70048
859,17.8037,30.5389,0.70048
860,17.8037,30.5389,0.70048
861,17.8037,30.5389,0.70048
862,17.8037,30.5389,0.70048
863,17.8037,30.5389,0.70048
864,17.8037,30.5389,0.70048
865,17.8037,30.5389,0.70048
866,17.8037,30.5389,0.70048
867,17.8037,30.5389,0.70048
868,17.8037,30.5389,0.70048
869,17.8037,30.5389,0.70048
870,17.8037,30.5389,0.70048
872,17.8037,30.5389,0.70048
873,17.8037,30.5389,0.70048
874,17.8037,30.5389,0.70048
875,17.8037,30.5389,0.70048
876,17.8037,30.5389,0.70048
877,17.8037,30.5389,0.70048
878,17.8037,30.5389,0.70048
879,-69.3951,85.1206,0.784902
880,17.8037,30.5389,0.70048
881,17.8037,30.5389,0.70048
883,17.8037,30.5389,0.70048
884,17.8037,30.5389,0.70048
885,17.8037,30.5389,0.70048
886,17.8037,30.5389,0.70048
887,17.8037,30.5389,0.70048
888,17.8037,30.5389,0.70048
889,17.8037,30.5389,0.70048
890,17.8037,30.5389,0.70048
895,38.543,33.6169,0.869515
896,17.8037,30.5389,0.70048
898,17.8037,30.5389,0.70048
899,17.8037,30.5389,0.70048
901,-69.3951,85.1206,0.784902
902,79.4257,-96.8533,0.571479
903,12.6525,68.1602,0.252828
904,68.7463,84.2498,2.04031
907,41.7873,-31.3599,0.103484
908,63.6016,-87.4094,0.810092
909,29.2458,-114.272,2.13455
910,12.6525,68.1602,0.252828
911,63.6016,-87.4094,0.810092
912,68.7463,84.2498,2.04031
913,12.6525,68.1602,0.252828
918,-69.3951,85.1206,0.784902
919,68.7463,84.2498,2.04031
920,45.6152,11.8904,0.118707
922,17.8037,30.5389,0.70048
924,29.2458,-114.272,2.13455
926,-28.8242,-35.6009,1.67593
929,68.7463,84.2498,2.04031
930,68.7463,84.2498,2.04031
932,-69.3951,85.1206,0.784902
938,-69.3951,85.1206,0.784902
939,-69.3951,85.1206,0.784902
941,-41.6836,-41.5712,0.227175
943,17.819,30.495,0.700662
945,18.3049,30.5913,0.708731
949,17.8037,30.5389,0.70048
950,-69.3951,85.1206,0.784902
951,-79.2281,17.8071,0.197523
952,-79.2281,17.8071,0.197523
953,-79.2281,17.8071,0.197523
954,-79.2281,17.8071,0.197523
955,-79.2281,17.8071,0.197523
957,-41.6836,-41.5712,0.227175
960,18.2719,30.5725,0.708239
961,17.8051,30.5348,0.700534
962,17.7996,30.5512,0.700435
963,17.8051,30.5348,0.700534
964,17.8037,30.5389,0.70048
965,18.3155,30.486,0.708632
966,18.5019,30.4171,0.708349
969,35.1158,-109.962,1.78299
970,29.2458,-114.272,2.13455
971,-15.3436,-106.97,4.51878
972,-15.3436,-106.97,4.51878
973,-4.17565,-32.0947,0.12378
977,41.7873,-31.3599,0.103484
979,-41.6836,-41.5712,0.227175
981,-69.3951,85.1206,0.784902
982,-69.3951,85.1206,0.784902
983,-69.3951,85.1206,0.784902
984,63.6016,-87.4094,0.810092
985,-69.3951,85.1206,0.784902
986,68.7463,84.2498,2.04031
987,45.6152,11.8904,0.118707
988,-11.2531,-41.485,4.59391
990,-69.3951,85.1206,0.784902
991,-69.3951,85.1206,0.784902
1011,-41.6836,-41.5712,0.227175
1041,-41.6836,-41.5712,0.227175
1042,-41.6836,-41.5712,0.227175
1043,-41.6836,-41.5712,0.227175
1044,-41.6836,-41.5712,0.227175
1361,-41.6836,-41.5712,0.227175
1614,-41.6836,-41.5712,0.227175
2000,1.31057,-82.2757,0.677491
2001,-4.17565,-32.0947,0.12378
2004,-41.6836,-41.5712,0.227175
2005,-2.29788,-30.9625,0.121504
2006,-4.17565,-32.0947,0.12378
2007,-4.17565,-32.0947,0.12378
2008,-4.17565,-32.0947,0.12378
2009,-4.17565,-32.0947,0.12378
2010,-4.17565,-32.0947,0.12378
2011,-4.17565,-32.0947,0.12378
2013,-4.17565,-32.0947,0.12378
2014,8.97512,-80.1343,3.77256
2015,9.05722,-80.7779,2.41333
2016,-4.17565,-32.0947,0.12378
2017,-19.4598,-14.823,0.0935156
2018,-19.4598,-14.823,0.0935156
2019,-37.5305,-42.6714,0.168913
2022,-41.6836,-41.5712,0.227175
2023,-41.6836,-41.5712,0.227175
2024,-41.6836,-41.5712,0.227175
2025,-41.6836,-41.5712,0.227175
2030,-11.7862,117.271,0.875113
2031,11.9367,-84.2512,1.22117
2033,-79.2281,17.8071,0.197523
2034,-79.2281,17.8071,0.197523
2035,1.85528,-44.1178,0.157723
2037,1.85528,-44.1178,0.157723
2038,-12.9429,0.844223,0.102735
2039,-12.9429,0.844223,0.102735
2040,1.85528,-44.1178,0.157723
2041,-11.7862,117.271,0.875113
2045,-18.7131,112.417,2.19514
2046,-4.17565,-32.0947,0.12378
2047,-2.29788,-30.9625,0.121504
2048,-4.17565,-32.0947,0.12378
2049,-41.6836,-41.5712,0.227175
2050,-41.6836,-41.5712,0.227175
2051,-14.5495,-30.8032,0.13561
2052,-41.6836,-41.5712,0.227175
2053,-4.17565,-32.0947,0.12378
2881,-79.2281,17.8071,0.197523
2891,-79.2281,17.8071,0.197523
2901,-79.2281,17.8071,0.197523
3021,-41.6836,-41.5712,0.227175
3031,41.7873,-31.3599,0.103484
3061,41.048,-32.7096,0.103839
3062,41.048,-32.7096,0.103839
3063,41.048,-32.7096,0.103839
3115,41.7873,-31.3599,0.103484
3171,41.7873,-31.3599,0.103484
3181,41.7873,-31.3599,0.103484
3201,41.048,-32.7096,0.103839
3202,41.048,-32.7096,0.103839
3203,41.048,-32.7096,0.103839
3222,41.048,-32.7096,0.103839
3223,41.048,-32.7096,0.103839
3307,29.4,-27.5,0.22
3323,29.4,-27.5,0.22
3446,31.4573,3.77236,0.27237
4011,41.7905,-31.3559,0.103468
6022,-10.933,-50.0257,0.242498
6698,17.8037,30.5389,0.70048
7001,41.7873,-31.3599,0.103484
7002,41.7873,-31.3599,0.103484
7003,-31.4582,-82.7687,0.796251
7007,29.1791,12.3558,0.574335
7008,41.7873,-31.3599,0.103484
7009,41.7873,-31.3599,0.103484
7010,41.7873,-31.3599,0.103484
7011,40.0947,-29.1635,0.10868
7012,41.7873,-31.3599,0.103484
7013,29.1791,12.3558,0.574335
7014,-16.7755,-82.3598,0.681703
7015,16.4239,2.51117,0.228424
7016,32.5609,63.7422,1.88876
7017,26.5749,0.680887,0.177695
7018,34.3495,57.1942,1.241
7019,-20.9137,-68.984,0.291054
7020,38.17,-9.47355,0.198117
7021,32.6971,44.9294,0.5283
7022,-20.9137,-68.984,0.291054
7023,43.9941,-19.9351,0.230257
7024,-20.9137,-68.984,0.291054
7025,-21.3531,-65.6024,0.19118
7026,41.7873,-31.3599,0.103484
7027,42.9444,58.3688,0.593897
7028,41.7873,-31.3599,0.103484
7029,41.7873,-31.3599,0.103484
7030,41.7873,-31.3599,0.103484
7031,41.7873,-31.3599,0.103484
7032,-20.9137,-68.984,0.291054
7033,49.7607,-19.5607,0.113972
7034,36.9697,64.2235,2.23332
7035,9.11311,-14.701,0.210985
7036,41.7873,-31.3599,0.103484
7037,41.7873,-31.3599,0.103484
7038,41.7873,-31.3599,0.103484
7039,41.7873,-31.3599,0.103484
7040,41.7873,-31.3599,0.103484
7041,-20.9137,-68.984,0.291054
7042,41.7873,-31.3599,0.103484
7043,9.11311,-14.701,0.210985
7044,9.11311,-14.701,0.210985
7045,-20.9137,-68.984,0.291054
7046,-20.9137,-68.984,0.291054
7047,-20.9137,-68.984,0.291054
7048,9.85369,127.858,2.02726
7049,-20.9137,-68.984,0.291054
7050,-20.9137,-68.984,0.291054
7051,-20.9137,-68.984,0.291054
7052,-20.9137,-68.984,0.291054
7053,-20.9137,-68.984,0.291054
7054,-20.9137,-68.984,0.291054
7055,-20.9137,-68.984,0.291054
7056,-20.9137,-68.984,0.291054
7057,43.9941,-19.9351,0.230257
7058,48.0807,-23.2016,0.205101
7059,43.6677,-17.735,0.21289
7060,41.7873,-31.3599,0.103484
7061,41.7873,-31.3599,0.103484
7062,43.9941,-19.9351,0.230257
7063,29.5271,-0.917931,0.177486
7064,23.7621,4.82294,0.163344
7065,23.7621,4.82294,0.163344
7066,26.5749,0.680887,0.177695
7067,41.7873,-31.3599,0.103484
7068,41.7873,-31.3599,0.103484
7069,41.7873,-31.3599,0.103484
7070,41.7873,-31.3599,0.103484
7071,26.5749,0.680887,0.177695
7072,-5.69749,-170.136,2.0275
7073,-28.5026,-119.434,4.65983
7074,-18.6553,-81.1941,0.680667
7075,16.4239,2.51117,0.228424
7076,16.4239,2.51117,0.228424
7077,16.4239,2.51117,0.228424
7078,-5.61804,-71.4493,0.450387
7079,-20.9137,-68.984,0.291054
7080,49.7607,-19.5607,0.113972
7081,-20.9137,-68.984,0.291054
7082,-23.6458,-69.0212,0.286705
7083,41.7873,-31.3599,0.103484
7084,-34.8491,-93.7331,1.54907
7085,-26.8557,-71.135,0.420851
7086,-30.1958,-74.1727,0.607766
7088,-16.7755,-82.3598,0.681703
7089,-19.7227,-77.977,0.650177
7090,9.11311,-14.701,0.210985
7091,9.11311,-14.701,0.210985
7092,-5.61804,-71.4493,0.450387
7093,23.7621,4.82294,0.163344
7094,41.7873,-31.3599,0.103484
7095,26.5749,0.680887,0.177695
7096,41.7873,-31.3599,0.103484
7097,43.9941,-19.9351,0.230257
7098,43.9941,-19.9351,0.230257
7099,26.5749,0.680887,0.177695
7100,26.5749,0.680887,0.177695
7101,26.5749,0.680887,0.177695
7102,26.5749,0.680887,0.177695
7103,26.5749,0.680887,0.177695
7104,27.1922,0.283513,0.178354
7105,26.5749,0.680887,0.177695
7106,26.5749,0.680887,0.177695
7107,26.5749,0.680887,0.177695
7108,26.5749,0.680887,0.177695
7109,26.5749,0.680887,0.177695
